,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
365,92757,0.7,-0.11,0.3,30.06,-61.77,27.44,1.0
366,92859,1.17,-0.17,0.19,-1.16,-16.16,37.32,1.0
367,92942,0.93,-0.23,0.12,-19.33,-28.84,34.82,1.0
368,93053,0.95,-0.34,0.21,17.01,16.16,23.05,1.0
369,93164,-0.49,-1.2,2.41,-89.02,-523.11,663.41,1.0
370,93238,0.71,-0.45,0.02,-44.33,-38.84,-58.17,1.0
371,93349,0.91,-0.37,-0.23,-15.12,169.27,-208.23,1.0
372,93460,1.07,-0.11,0.21,92.56,144.39,-22.93,1.0
373,93543,1.08,-0.1,0.25,-71.52,74.15,-66.46,1.0
374,93712,0.88,0.16,-0.4,9.21,-139.45,14.63,1.0
375,93825,1.01,0.02,0.05,-207.38,199.57,78.29,1.0
376,93904,0.89,0.21,-0.31,-22.62,-96.22,-12.87,1.0
377,94011,1.03,0.07,-0.16,-15.18,-105.06,-15.18,1.0
378,94082,0.87,0.2,-0.59,-11.59,-105.85,-13.05,1.0
379,94189,0.97,0.15,0.3,22.8,133.11,17.01,1.0
